sno,filename,status,year,tags0,tags1,tags2,categories,archives
1,2013-08-31-Bluetoothshield-Arduino-and-Android.md,2013-08-31,2013,Bluetooth,Arduino,Android,Hardware,2013
2,2013-09-10-Scale-images-using-python-script.md,2013-09-10,2013,Image,Scaling,,Code snippet,2013
3,2013-10-07-Xvfb-Virtual-FrameBuffer-error-for-Ubuntu-server-1204.md,2013-10-07,2013,Ubuntu,Error,,Operating System,2013
4,2013-10-08-Installing-maven-in-Ubuntu-1204.md,2013-10-08,2013,Ubuntu,Maven,,Software,2013
5,2013-10-16-Python-for-data-frame-editing-using-pandas.md,2013-10-16,2013,Python,Pandas,,Code snippet,2013
6,2013-10-28-Store-json-data-into-Mysql-using-python.md,2013-10-28,2013,Json,MySQL,,Code snippet,2013
7,2013-10-29-Giving-Raspberry-pi-net-connection.md,2013-10-29,2013,Raspberry Pi,Setup,Internet,Hardware,2013
8,2013-11-01-Python-pandas-cont.md,2013-11-01,2013,Python,Pandas,,Code snippet,2013
9,2013-11-01-Notes-on-selenium.md,2013-11-01,2013,Selenium,Data Scraping,,Software,2013
10,2013-11-05-AWS-postgresql-remote-host-connection.md,2013-11-05,2013,AWS,PostgreSQL,,Cloud computing,2013
11,2013-11-05-Notes-on-Geoserver.md,2013-11-05,2013,Geoserver,Geospatial,,Software,2013
12,2013-11-05-PostGresql-table-edit-in-command-line.md,2013-11-05,2013,PostgreSQL,Remote access,,Software,2013
13,2013-11-05-Screen-for-remote-head-less-sever.md,2013-11-05,2013,Screen,Ubuntu,Remote access,Software,2013
14,2013-11-05-Notes-on-AWS.md,2013-11-05,2013,AWS,,,Cloud computing,2013
15,2013-11-05-SMS-management-web-application.md,2013-11-05,2013,SMS,Web Application,,Software,2013
16,2013-11-11-DYLOS-raspberry-pi-experiment.md,2013-11-11,2013,Raspberry Pi,Dylos Monitor,Setup,Hardware,2013
17,2013-12-04-AWS-instances-and-more-tips.md,2013-12-04,2013,AWS,,,Cloud computing,2013
18,2013-12-04-Adding-font-in-Ubuntu-1204.md,2013-12-04,2013,Ubuntu,Fonts,,Software,2013
19,2013-12-16-Script-for-json-to-csv-for-weather-underground-API-fetching-historical-data.md,2013-12-16,2013,Python,API,Weather Underground,Software,2013
20,2013-12-16-DYLOS-raspberry-pi-and-xively.md,2013-12-16,2013,Raspberry Pi,Dylos Monitor,Xively,Hardware,2013
1,2014-01-06-removing-PIN-in-android.md,2014-01-06,2014,Android,,,Software,2014
2,2014-01-08-Testing-the-RPi-with-usb-hub-usb-serial-and-data-card.md,2014-01-08,2014,Raspberry Pi,USB,,Hardware,2014
3,2014-01-08-Udev-rules-for-USB-attached-to-RPi.md,2014-01-08,2014,Raspberry Pi,USB,,Hardware,2014
4,2014-01-08-GSM-INTERNET-connection-for-RPi.md,2014-01-08,2014,Raspberry Pi,USB,Internet,Hardware,2014
5,2014-01-08-How-to-BRICK-Beagle-Bone-Black.md,2014-01-08,2014,Beagle Bone Black board,,,Hardware,2014
6,2014-01-08-raspberry-pi-errors.md,2014-01-08,2014,Raspberry Pi,Error,,Hardware,2014
7,2014-01-08-Daemon-service-for-RPI-for-running-python-script.md,2014-01-08,2014,Raspberry Pi,Python,,Hardware,2014
8,2014-01-16-USB-DATA-card-for-ubuntu-1204.md,2014-01-16,2014,Ubuntu,USB,,Software,2014
9,2014-01-16-SCREEN-usage.md,2014-01-16,2014,Screen,Ubuntu,Remote access,Software,2014
10,2014-01-16-Secure-ubuntu-SERVER-1204.md,2014-01-16,2014,Ubuntu,Security,,Software,2014
11,2014-01-16-Ubuntu-SERVER-black-screen-problem.md,2014-01-16,2014,Ubuntu,Error,,Operating System,2014
12,2014-01-17-Installing-Munin-for-ubuntu-server.md,2014-01-17,2014,Ubuntu,Munin,,Software,2014
13,2014-01-17-more-with-SMS-gateway-for-ubuntu-1204.md,2014-01-17,2014,Ubuntu,SMS,,Software,2014
14,2014-01-25-recover-password-for-postgresql.md,2014-01-25,2014,PostgreSQL,,,Software,2014
15,2014-01-25-File-transfer-between-AWS-and-ubuntu.md,2014-01-25,2014,AWS,Ubuntu,,Cloud computing,2014
16,2014-01-25-python-script-for-inserting-SOS.md,2014-01-25,2014,Python,Standards,SOS,Software,2014
17,2014-02-05-Python-script-to-convert-wrfout-into-Geotiff-and-some-issues.md,2014-02-05,2014,Python,WRF,Geotiff,Script,2014
18,2014-02-05-wind-power-forecasting-map.md,2014-02-05,2014,Python,Geospatial,Wind Power,Software,2014
19,2014-02-18-Python-for-fetching-Mysql-table.md,2014-02-18,2014,Python,MySQL,,Software,2014
20,2014-02-21-Installing-55north-SOS-with-tomcat7.md,2014-02-21,2014,SOS,tomcat7,Ubuntu,Software,2014
21,2014-02-25-trisquel-60-installation-in-nvidia-geforce-card-bearing-laptop.md,2014-02-25,2014,Ubuntu,,,Operating System,2014
22,2014-03-04-data-communication-between-arduino-and-android.md,2014-03-04,2014,,Arduino,Android,Hardware,2014
23,2014-03-05-Unbricking-BBB.md,2014-03-05,2014,Beagle Bone Black board,,,Hardware,2014
24,2014-03-05-Server-stuck-at-GRUB-menu-after-1204-update-upgrade.md,2014-03-05,2014,Ubuntu,,,Operating System,2014
25,2014-03-06-EMS-WRF.md,2014-03-06,2014,WRF,WRF-EMS,Compiling,Software,2014
26,2014-03-25-usb-modeswitch-on-reboot.md,2014-03-25,2014,Ubuntu,USB,,Software,2014
27,2014-03-25-gammu-and-mysql.md,2014-03-25,2014,SMS,MySQL,,Software,2014
28,2014-03-25-Sending-SMS-with-Beagle-bone-black.md,2014-03-25,2014,Beagle Bone Black board,SMS,,Software,2014
29,2014-04-04-HYSPLIT-compile.md,2014-04-04,2014,HYSPLIT,Compiling,,Software,2014
30,2014-04-08-Sending-SMS-with-AT-and-python.md,2014-04-08,2014,SMS,Python,,Software,2014
31,2014-04-10-CSV-edit-by-pandas.md,2014-04-10,2014,Pandas ,Python,CSV,Software,2014
